,month,day,temp_dailyMin,temp_minGround,temp_dailyMean,temp_dailyMax,temp_7h,temp_14h,temp_19h,hum_dailyMean,hum_7h,hum_14h,hum_19h
0,1,1,-4.3,-6.4,-1.8,0.8,-2.8,0.6,-0.9,90,88,89,94
1,1,2,-4.0,-2.1,-1.1,1.9,-1.1,-3.4,-3.9,92,96,92,89
2,1,3,-6.2,-5.5,-5.0,-3.8,-5.8,-5.2,-5.2,76,79,75,73
3,1,4,-7.7,-6.1,-6.3,-4.8,-6.0,-6.5,-7.7,,,,
4,1,5,-7.7,-8.7,-6.6,-5.4,-7.1,-6.4,-6.1,91,89,91,92
5,1,6,-6.1,-5.5,-4.0,-1.9,-3.9,-2.3,-2.1,97,98,96,96
6,1,7,-4.5,-8.6,-1.8,0.9,-2.3,0.6,0.3,91,93,88,92
7,1,8,-2.9,-6.8,3.1,9.0,-2.6,8.9,3.7,76,98,56,74
8,1,9,-0.8,-3.3,1.5,3.7,0.8,1.4,1.1,100,100,100,100
9,1,10,0.8,-0.2,2.2,3.6,0.9,3.5,1.3,98,100,94,100
10,1,11,1.0,1.0,4.3,7.6,1.4,3.4,7.5,93,100,96,82
11,1,12,5.7,4.8,8.0,10.3,6.6,9.6,6.0,67,69,58,73
12,1,13,4.4,2.5,6.1,7.7,4.8,6.1,5.3,72,72,69,74
13,1,14,2.7,1.4,5.0,7.3,4.1,6.6,3.0,61,63,46,73
14,1,15,0.2,-2.3,3.2,6.1,3.2,5.1,1.8,67,68,58,76
15,1,16,0.6,-0.3,1.3,2.0,1.0,1.5,0.6,,,,
16,1,17,-2.7,-3.4,-1.1,0.6,-0.7,-0.2,-2.7,67,80,56,64
17,1,18,-5.8,-8.2,-3.1,-0.4,-5.7,-0.8,-4.5,68,82,54,68
18,1,19,-6.8,-9.2,-4.8,-2.7,-6.3,-3.1,-3.6,76,82,71,75
19,1,20,-7.3,-10.7,-3.3,0.7,-5.4,0.5,0.0,64,81,58,54
20,1,21,-3.5,-2.4,-1.5,0.6,-1.6,-0.8,-3.5,65,68,61,66
21,1,22,-9.6,-14.2,-5.5,-1.4,-9.6,-1.6,-4.2,74,90,59,72
22,1,23,-7.1,-11.4,-5.2,-3.3,-6.5,-3.9,-3.3,89,85,88,94
23,1,24,-3.3,-2.2,2.1,7.5,4.6,6.4,4.0,72,71,66,78
24,1,25,0.8,-1.9,4.5,8.1,4.2,7.1,7.9,88,88,90,87
25,1,26,5.2,1.2,8.9,12.6,9.8,12.6,5.2,68,63,53,87
26,1,27,-0.8,-3.0,7.3,15.3,-0.2,15.1,12.5,68,98,51,55
27,1,28,4.5,2.4,10.5,16.4,4.9,15.1,8.9,67,85,45,72
28,1,29,5.2,4.8,8.1,11.0,5.4,11.0,7.6,81,96,66,81
29,1,30,,,,,,,,95,98,90,98
30,1,31,,,,,,,,,,,
31,2,1,4.5,3.1,9.1,13.7,7.4,13.3,12.9,84,95,88,70
32,2,2,8.1,9.1,11.0,13.8,10.5,12.2,8.3,72,69,64,82
33,2,3,2.6,2.0,7.2,11.8,10.6,4.3,3.8,82,65,91,90
34,2,4,2.5,1.3,4.6,6.7,2.6,6.5,3.8,68,74,58,72
35,2,5,2.6,1.5,4.6,6.6,3.5,6.3,3.6,68,79,49,76
36,2,6,0.6,-2.4,5.1,9.5,0.6,9.5,6.1,77,95,61,74
37,2,7,2.8,0.6,8.4,14.0,3.1,13.9,10.1,64,86,46,61
38,2,8,6.9,4.0,9.3,11.7,8.1,10.9,11.0,68,68,67,69
39,2,9,6.9,2.9,10.1,13.3,7.2,11.7,11.9,69,81,66,61
40,2,10,3.3,3.7,7.6,11.9,4.6,4.7,4.4,76,87,77,64
41,2,11,3.3,1.9,5.4,7.4,3.3,7.1,3.4,68,74,58,72
42,2,12,-1.1,-4.4,2.2,5.5,-0.8,4.5,3.8,81,91,71,80
43,2,13,2.5,1.8,5.2,7.8,2.8,7.7,5.0,73,83,60,76
44,2,14,1.6,-1.2,5.2,8.7,1.9,6.8,7.9,90,97,81,93
45,2,15,5.3,3.2,6.8,8.3,5.9,8.0,7.4,76,83,71,73
46,2,16,4.3,3.9,6.1,7.8,4.4,7.1,4.9,71,73,66,74
47,2,17,,,,,,,,88,84,88,91
48,2,18,3.8,4.1,4.4,5.0,4.5,5.0,4.0,93,94,91,94
49,2,19,2.4,2.0,4.5,6.6,2.6,5.5,5.7,82,91,78,76
50,2,20,3.2,1.1,6.5,9.8,3.8,9.5,7.6,53,72,36,51
51,2,21,5.3,4.3,9.6,13.9,9.7,13.6,13.9,76,85,72,72
52,2,22,13.2,10.9,16.5,19.7,13.4,18.7,14.2,48,52,37,56
53,2,23,10.9,8.2,13.7,16.5,12.8,13.8,11.0,59,56,52,70
54,2,24,2.2,0.5,6.6,11.0,2.4,9.0,3.3,61,73,36,75
55,2,25,-0.3,-3.5,3.1,6.5,2.4,4.0,3.5,73,73,71,76
56,2,26,0.2,-3.0,3.5,6.8,0.3,6.3,3.0,58,72,45,58
57,2,27,,,,,,,,64,76,47,69
58,2,28,4.2,2.6,7.3,10.4,4.6,10.3,8.5,79,86,68,82
59,2,29,6.5,5.7,7.5,8.5,6.6,7.8,8.1,92,90,94,92
60,3,1,1.9,1.9,5.0,8.1,2.4,3.0,2.5,79,89,74,74
61,3,2,1.0,-2.1,5.0,8.9,1.7,8.0,7.1,74,82,64,77
62,3,3,3.8,2.9,5.8,7.7,3.8,4.9,3.8,86,88,85,84
63,3,4,2.1,1.2,5.4,8.6,2.9,8.3,4.5,68,77,48,78
64,3,5,1.0,-1.8,7.0,13.0,1.4,11.1,10.1,66,89,50,58
65,3,6,5.6,5.2,8.5,11.3,5.7,10.9,7.2,57,72,45,53
